playerId,periodType,period,date,teamId,opponentId,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,decision,savePercentage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,evenStrengthSavePercentage,win
8475794,singleSeason,20192020,,,,1321.3,33,17,22,245,69,90,3,15,176.75,1095.63,22,58.16,6,3,0,0,48.92,31,-2,50,1830,,,,,,,,,,,,,,,,,,,,
8475825,singleSeason,20192020,,,,90.6,0,1,2,4,5,15,0,0,1.87,82.18,2,0.0,0,0,0,0,6.55,7,1,1,123,,,,,,,,,,,,,,,,,,,,
8476884,singleSeason,20192020,,,,16.67,0,0,2,1,2,2,0,0,0.0,16.67,2,0.0,0,0,0,0,0.0,1,-1,0,28,,,,,,,,,,,,,,,,,,,,
8476889,singleSeason,20192020,,,,1048.82,9,11,42,109,66,84,3,3,96.9,855.8,42,49.87,3,0,0,0,96.12,44,-6,20,1512,,,,,,,,,,,,,,,,,,,,
8476902,singleSeason,20192020,,,,1615.22,20,3,12,98,69,89,1,7,76.72,1276.43,12,0.0,2,1,0,3,262.07,127,5,23,1893,,,,,,,,,,,,,,,,,,,,
8477810,singleSeason,20192020,,,,90.85,2,0,6,4,8,3,0,0,0.27,88.98,6,0.0,0,0,0,0,1.6,8,0,2,149,,,,,,,,,,,,,,,,,,,,
8478449,singleSeason,20192020,,,,884.93,14,19,16,120,60,73,3,14,117.87,747.0,16,49.85,5,1,2,2,20.07,28,3,33,1301,,,,,,,,,,,,,,,,,,,,
8478975,singleSeason,20192020,,,,32.33,1,0,0,3,4,3,0,0,0.7,31.63,0,100.0,0,0,0,0,0.0,0,0,1,44,,,,,,,,,,,,,,,,,,,,
8479351,singleSeason,20192020,,,,1010.7,16,6,20,85,65,24,1,8,112.93,876.52,20,50.27,1,1,0,0,21.25,25,-13,22,1309,,,,,,,,,,,,,,,,,,,,
8479381,singleSeason,20192020,,,,119.58,1,1,4,13,12,17,0,0,0.15,117.55,4,50.0,0,0,0,0,1.88,3,2,2,201,,,,,,,,,,,,,,,,,,,,
8480027,singleSeason,20192020,,,,36.97,1,0,0,4,3,1,0,1,3.65,33.32,0,0.0,0,0,0,0,0.0,0,0,1,50,,,,,,,,,,,,,,,,,,,,
8480036,singleSeason,20192020,,,,1616.13,27,8,12,163,68,40,0,7,155.62,1319.58,12,0.0,0,0,0,0,140.93,84,14,35,1894,,,,,,,,,,,,,,,,,,,,
8471685,singleSeason,20192020,,,,1472.8,41,21,16,135,70,49,7,21,201.78,1145.65,16,55.15,5,1,1,1,125.37,56,6,62,1774,,,,,,,,,,,,,,,,,,,,
8473453,singleSeason,20192020,,,,666.45,6,6,16,92,56,68,0,0,3.62,616.27,16,38.79,1,0,0,0,46.57,22,-7,12,976,,,,,,,,,,,,,,,,,,,,
