playerId,periodType,period,date,teamId,opponentId,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,decision,savePercentage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,evenStrengthSavePercentage,win
8476525,singleSeason,20212022,,,,721.32,12,2,21,48,38,50,0,3,55.35,623.9,21,0.0,0,0,0,0,42.07,42,-2,14,929,,,,,,,,,,,,,,,,,,,,
8477931,singleSeason,20212022,,,,1000.63,14,3,32,84,75,85,0,0,3.42,861.72,32,53.94,1,0,0,2,135.5,34,-9,17,1364,,,,,,,,,,,,,,,,,,,,
8474090,singleSeason,20212022,,,,626.32,4,4,36,63,45,73,0,0,0.65,577.67,36,0.0,1,0,0,0,48.0,40,6,8,855,,,,,,,,,,,,,,,,,,,,
8475287,singleSeason,20212022,,,,1177.28,26,18,47,141,78,129,2,4,74.42,1044.55,47,53.84,3,0,0,0,58.32,36,19,44,1522,,,,,,,,,,,,,,,,,,,,
8475726,singleSeason,20212022,,,,1206.45,29,20,14,195,74,81,8,16,180.28,945.6,14,52.94,1,0,2,3,80.57,24,-5,49,1687,,,,,,,,,,,,,,,,,,,,
8476292,singleSeason,20212022,,,,1270.25,31,18,20,143,77,124,1,6,161.9,1084.13,20,11.11,5,2,0,1,24.22,42,15,49,1624,,,,,,,,,,,,,,,,,,,,
8476462,singleSeason,20212022,,,,1315.87,21,9,34,197,62,87,2,8,154.55,1130.95,34,0.0,1,1,0,0,30.37,92,-19,30,1536,,,,,,,,,,,,,,,,,,,,
8476919,singleSeason,20212022,,,,869.02,12,6,14,72,70,42,3,5,95.27,759.37,14,49.71,2,0,0,0,14.38,30,-12,18,1195,,,,,,,,,,,,,,,,,,,,
8477508,singleSeason,20212022,,,,839.58,8,8,16,95,70,186,0,0,1.03,726.02,16,48.92,0,0,0,1,112.53,51,-2,16,1214,,,,,,,,,,,,,,,,,,,,
8477970,singleSeason,20212022,,,,2317.38,,,,,42,,,,,,,,,,,,,,,,,6,4,,20,12,1014,128,37,849,40,929,148,,0.908,39,1117,103,86.48648648648648,91.3885898815931,
8478399,singleSeason,20212022,,,,1439.08,13,1,42,92,70,98,0,0,1.88,1269.82,42,0.0,0,0,0,1,167.38,106,-5,14,1690,,,,,,,,,,,,,,,,,,,,
8478414,singleSeason,20212022,,,,1475.02,41,35,54,326,77,162,12,18,203.88,1267.8,54,48.64,8,1,0,0,3.33,61,-3,76,1759,,,,,,,,,,,,,,,,,,,,
8478507,singleSeason,20212022,,,,1671.58,24,1,23,90,81,73,0,2,75.53,1405.12,23,0.0,0,0,0,2,190.93,88,1,25,2089,,,,,,,,,,,,,,,,,,,,
8479407,singleSeason,20212022,,,,1324.68,47,26,16,197,76,26,3,18,206.78,1114.38,16,0.0,6,0,0,0,3.52,30,0,73,1749,,,,,,,,,,,,,,,,,,,,
8479414,singleSeason,20212022,,,,857.17,6,12,65,97,72,210,3,4,116.15,724.4,65,47.91,1,0,0,0,16.62,40,-12,18,1196,,,,,,,,,,,,,,,,,,,,
8479415,singleSeason,20212022,,,,1026.1,14,6,52,78,77,145,0,0,14.77,855.22,52,57.25,0,0,0,1,156.12,34,-13,20,1609,,,,,,,,,,,,,,,,,,,,
8479984,singleSeason,20212022,,,,735.05,7,2,29,49,56,83,0,0,1.03,722.52,29,0.0,0,0,0,0,11.5,57,6,9,938,,,,,,,,,,,,,,,,,,,,
8480002,singleSeason,20212022,,,,1354.08,39,21,17,153,70,50,4,12,197.55,1036.88,17,52.06,2,1,0,2,119.65,48,-1,60,1830,,,,,,,,,,,,,,,,,,,,
8480860,singleSeason,20212022,,,,267.67,3,1,10,16,17,28,0,0,1.2,249.32,10,0.0,0,0,0,0,17.15,15,-6,4,362,,,,,,,,,,,,,,,,,,,,
8481033,singleSeason,20212022,,,,235.98,,,,,6,,,,,,,,,,,,,,,,,0,0,,0,4,95,4,3,88,5,104,5,,0.833,4,114,19,80.0,84.61538461538461,
8481559,singleSeason,20212022,,,,958.73,30,26,0,165,49,6,6,14,141.03,814.17,0,34.56,2,2,0,0,3.53,15,-16,56,1088,,,,,,,,,,,,,,,,,,,,
