RK,NAME,KEEP?,POS,POS_RK,TEAM,AGE,SALARY,FP
387,Jonas Siegenthaler,N,D,136,NJD,27,CAD 3.4,204.7
388,Scott Mayfield,N,D,133,NYI,31,CAD 3.5,206.3
389,Stefan Noesen,N,LW/RW,89,NJD,31,CAD 2.8,192.5
390,Anthony Mantha,N,RW,90,CGY,29,CAD 3.5,187.1
391,Nils Hoglander,N,LW,100,VAN,23,CAD 1.1,199.6
392,Brenden Dillon,N,D,145,NJD,33,CAD 4.0,200.9
393,Connor Clifton,N,D,140,BUF,29,CAD 3.3,203.8
394,Matt Dumba,N,D,152,DAL,30,CAD 3.8,195.7
395,Jalen Chatfield,N,D,161,CAR,28,CAD 3.0,181.9
396,Ondrej Palat,N,LW,86,NJD,33,CAD 6.0,212.1
397,Drew O'Connor,N,LW,92,PIT,26,CAD 0.9,208.2
398,Dylan Holloway,N,LW,82,STL,22,CAD 2.3,215.6
399,Michael Kesselring,N,D,176,UTA,24,CAD 1.4,169.0
400,Kaapo Kakko,N,RW,93,NYR,23,CAD 2.4,181.2
401,Connor Murphy,N,D,112,CHI,31,CAD 4.4,220.5
402,Bobby McMann,N,LW,87,TOR,28,CAD 1.4,211.5
403,Michael Rasmussen,N,C,105,DET,25,CAD 3.2,223.0
404,Alex Iafallo,N,C/LW/RW,83,WPG,30,CAD 4.0,202.0
405,Mattias Samuelsson,N,D,128,BUF,24,CAD 4.3,209.0
406,Jason Zucker,N,LW,96,BUF,32,CAD 5.0,203.1
407,Rasmus Ristolainen,N,D,127,PHI,29,CAD 5.1,209.3
408,Trevor van Riemsdyk,N,D,154,WSH,33,CAD 3.0,190.5
409,Andre Burakovsky,N,LW,106,SEA,29,CAD 5.5,190.1
410,Zach Whitecloud,N,D,143,VGK,27,CAD 2.8,201.1
411,Erik Haula,N,C/LW,90,NJD,33,CAD 3.2,208.7
412,Evander Kane,N,LW,95,EDM,33,CAD 5.1,204.2
413,Scott Laughton,N,C/LW,91,PHI,30,CAD 3.0,208.5
414,Brett Kulak,N,D,164,EDM,30,CAD 2.8,179.9
415,Ross Colton,N,C,103,COL,27,CAD 4.0,224.4
416,Jacob Bernard-Docker,N,D,138,OTT,24,CAD 0.8,204.4
417,Ilya Lyubushkin,N,D,117,DAL,30,CAD 3.3,217.1
418,Henri Jokiharju,N,D,159,BUF,25,CAD 3.1,182.9
419,Justin Barron,N,D,163,MTL,22,CAD 1.2,180.4
420,Jani Hakanpaa,N,D,113,TOR,32,CAD 1.5,220.2
421,Nicholas Robertson,N,LW,98,TOR,22,RFA,201.7
422,Cole Sillinger,N,C,115,CBJ,21,CAD 2.3,210.4
423,Andrew Copp,N,C/LW,101,DET,30,CAD 5.6,197.2
424,Juuso Valimaki,N,D,169,UTA,25,CAD 2.0,175.3
425,Jean-Gabriel Pageau,N,C,81,NYI,31,CAD 5.0,257.7
426,Ryan Strome,N,C/LW,122,ANA,31,CAD 5.0,160.4
427,Eetu Luostarinen,N,C,110,FLA,26,CAD 3.0,215.5
428,Travis Hamonic,N,D,156,OTT,34,CAD 1.1,186.9
429,Jan Rutta,N,D,162,SJS,34,CAD 2.8,180.8
430,Mike Reilly,N,D,181,NYI,31,CAD 1.3,162.3
431,Matt Grzelcyk,N,D,175,PIT,30,CAD 2.8,169.8
432,Mathieu Joseph,N,RW,94,STL,27,CAD 3.0,180.9
433,Andrew Peeke,N,D,126,BOS,26,CAD 2.8,209.5
434,Daniil Miromanov,N,D,177,CGY,27,CAD 1.3,168.5
435,Logan O'Connor,N,RW,92,COL,28,CAD 1.1,184.1
436,Mason Lohrei,N,D,168,BOS,23,CAD 0.9,175.7
437,Brian Dumoulin,N,D,158,ANA,32,CAD 3.2,184.4
438,Adam Lowry,N,C,107,WPG,31,CAD 3.3,220.0
439,Vladislav Namestnikov,N,C/LW,107,WPG,31,CAD 2.0,188.1
440,Jeremy Lauzon,N,D,148,NSH,27,CAD 2.0,199.0
441,Nick Bjugstad,N,C,113,UTA,32,CAD 2.1,210.9
442,Victor Olofsson,N,LW,108,VGK,29,CAD 1.1,187.6
443,Kevin Hayes,N,C,129,PIT,32,CAD 3.6,191.8
444,Jordan Harris,N,D,173,CBJ,24,CAD 1.4,171.7
445,Brendan Gallagher,N,RW,100,MTL,32,CAD 6.5,164.7
446,Nate Schmidt,N,D,166,FLA,33,CAD 0.8,178.2
447,Alex Kerfoot,N,C/LW,104,UTA,30,CAD 3.5,193.0
448,Marc-Edouard Vlasic,N,D,160,SJS,37,CAD 7.0,182.1
449,Philipp Grubauer,N,G,40,SEA,32,CAD 5.9,136.1
450,Ryan Suter,N,D,171,STL,39,CAD 0.8,174.2
451,Jake Bean,N,D,174,CGY,26,CAD 1.8,170.1
452,Scott Perunovich,N,D,182,STL,26,CAD 1.2,158.6
453,Cam Atkinson,N,RW,95,TBL,35,CAD 0.9,177.4
454,Devon Levi,N,G,41,BUF,22,CAD 0.9,134.9
455,Kevin Bahl,N,D,172,CGY,24,CAD 1.1,173.6
456,Luke Schenn,N,D,157,NSH,34,CAD 2.8,184.6
457,Olli Maatta,N,D,167,DET,30,CAD 3.0,177.7
458,Valtteri Puustinen,N,RW,96,PIT,25,CAD 0.8,177.3
459,Nils Lundkvist,N,D,185,DAL,24,CAD 1.3,153.4
460,Jordan Martinook,N,LW,114,CAR,32,CAD 3.1,172.9
461,Jaden Schwartz,N,C,131,SEA,32,CAD 5.5,190.8
462,Miles Wood,N,LW,113,COL,28,CAD 2.5,173.3
463,Ridly Greig,N,C,133,OTT,22,CAD 0.9,187.5
464,Arber Xhekaj,N,D,188,MTL,23,CAD 1.3,152.5
465,David Jiricek,N,D,186,CBJ,20,CAD 0.9,153.4
466,Jason Dickinson,N,C,114,CHI,29,CAD 4.3,210.4
467,Martin Pospisil,N,C/RW,97,CGY,24,CAD 1.0,175.8
468,Nick Foligno,N,LW,102,CHI,36,CAD 4.5,195.8
469,Calvin de Haan,N,D,165,COL,33,CAD 0.8,179.2
470,Dakota Joshua,N,C/LW,93,VAN,28,CAD 3.3,207.5
471,Colin Miller,N,D,183,WPG,31,CAD 1.5,155.9
472,Arthur Kaliyev,N,RW,98,LAK,23,RFA,165.6
473,Marcus Johansson,N,LW,111,MIN,33,CAD 2.0,174.3
474,Karel Vejmelka,N,G,42,UTA,28,CAD 2.7,129.6
475,Zach Bogosian,N,D,180,MIN,34,CAD 1.3,162.9
476,Ilya Samsonov,N,G,43,VGK,27,CAD 1.8,127.5
477,Bobby Brink,N,RW,102,PHI,23,CAD 1.5,162.7
478,Alex Wennberg,N,C,134,SJS,29,CAD 5.0,185.1
479,Mason Appleton,N,C/RW,101,WPG,28,CAD 2.2,163.8
480,Anton Forsberg,N,G,44,OTT,31,CAD 2.8,126.0
481,Ilya Mikheyev,N,RW,107,CHI,29,CAD 4.8,155.4
482,Kent Johnson,N,C,145,CBJ,21,CAD 1.8,172.3
483,Simon Benoit,N,D,155,TOR,25,CAD 1.4,187.7
484,Vincent Desharnais,N,D,179,VAN,28,CAD 2.0,164.9
485,Evgeny Dadonov,N,RW,105,DAL,35,CAD 2.3,158.1
486,Alex Laferriere,N,RW,103,LAK,22,CAD 0.9,160.9
487,Alex Nedeljkovic,N,G,45,PIT,28,CAD 2.5,124.0
488,Joel Edmundson,N,D,178,LAK,31,CAD 3.9,165.2
489,Ryker Evans,N,D,190,SEA,22,CAD 0.9,151.6
490,Kirby Dach,N,C,157,MTL,23,CAD 3.4,161.4
491,Derek Forbort,N,D,170,VAN,32,CAD 1.5,175.0
492,Zachary Bolduc,N,D,209,STL,21,CAD 0.9,122.4
493,Brendan Smith,N,D,187,DAL,35,CAD 1.0,152.6
494,Aliaksei Protas,N,C,144,WSH,23,CAD 3.4,172.4
495,Alex Texier,N,LW/RW,112,STL,24,CAD 2.1,148.3
496,Pierre-Olivier Joseph,N,D,202,STL,25,CAD 1.0,134.7
497,Matthew Kessel,N,D,184,STL,24,CAD 0.8,155.0
498,Jordan Greenway,N,LW,110,BUF,27,CAD 3.0,176.6
499,MacKenzie Blackwood,N,G,48,SJS,27,CAD 2.4,114.2
500,Barrett Hayton,N,C,146,UTA,24,CAD 2.7,171.1
501,Michael Eyssimont,N,C,147,TBL,27,CAD 0.8,171.1
502,Philip Tomasino,N,C,149,NSH,23,RFA,168.2
503,Logan Stanley,N,D,194,WPG,26,CAD 1.3,144.2
504,Johnathan Kovacevic,N,D,192,NJD,27,CAD 0.8,144.8
505,Brayden Pachal,N,D,189,CGY,25,CAD 0.8,152.3
506,Justin Brazeau,N,RW,99,BOS,26,CAD 0.8,164.7
507,Egor Zamula,N,D,199,PHI,24,CAD 1.7,137.2
508,Anthony Beauvillier,N,LW,117,PIT,27,CAD 1.3,164.2
509,Spencer Stastney,N,D,193,NSH,24,CAD 0.8,144.4
510,Matt Benning,N,D,200,SJS,30,CAD 1.3,137.1
511,Conor Timmins,N,D,203,TOR,25,CAD 1.1,132.2
512,Ryan Poehling,N,C,124,PHI,25,CAD 1.9,198.5
513,Josh Anderson,N,RW,106,MTL,30,CAD 5.5,156.3
514,Joe Veleno,N,C,137,DET,24,CAD 2.3,182.1
515,Kaedan Korczak,N,D,197,VGK,23,CAD 0.8,138.8
516,Jordan Staal,N,C,119,CAR,35,CAD 2.9,202.5
517,Pierre Engvall,N,LW,129,NYI,28,CAD 3.0,150.8
518,Declan Chisholm,N,D,196,MIN,24,CAD 1.0,138.9
519,Jonatan Berggren,N,LW,119,DET,24,RFA,161.9
520,Noah Cates,N,LW,120,PHI,25,CAD 2.6,160.9
521,Pius Suter,N,C,142,VAN,28,CAD 1.6,173.0
522,Haydn Fleury,N,D,191,WPG,28,CAD 0.8,150.3
523,Marc-Andre Fleury,N,G,46,MIN,39,CAD 2.5,117.7
524,Parker Wotherspoon,N,D,195,BOS,27,CAD 0.8,141.9
525,Wyatt Kaiser,N,D,208,CHI,22,CAD 0.9,127.0
526,Semyon Varlamov,N,G,49,NYI,36,CAD 2.8,113.1
527,Ryan McLeod,N,C,150,BUF,24,CAD 2.1,168.0
528,Ryan Donato,N,C,155,CHI,28,CAD 2.0,161.7
529,Michael Amadio,N,C,143,OTT,28,CAD 2.6,172.6
530,Justus Annunen,N,G,47,COL,24,CAD 0.8,115.9
531,Bradly Nadeau,N,LW,124,CAR,19,CAD 0.9,155.5
532,Cayden Primeau,N,G,50,MTL,24,CAD 0.9,111.8
533,Tomas Tatar,N,LW,130,NJD,33,CAD 1.8,149.0
534,Matthew Poitras,N,C,165,BOS,20,CAD 0.9,152.2
535,William Carrier,N,LW,115,CAR,29,CAD 2.0,172.8
536,Victor Soderstrom,N,D,204,UTA,23,CAD 0.9,132.0
537,Kasperi Kapanen,N,RW,116,STL,28,CAD 1.0,143.2
538,Marcus Foligno,N,LW/RW,104,MIN,33,CAD 4.0,160.5
539,Joshua Roy,N,RW,111,MTL,21,CAD 0.8,148.3
540,Lars Eller,N,C,141,PIT,35,CAD 2.5,173.5
541,Sonny Milano,N,LW,128,WSH,28,CAD 1.9,151.6
542,Nic Dowd,N,C,130,WSH,34,CAD 1.3,191.0
543,Jack Drury,N,C,152,CAR,24,CAD 1.7,166.0
544,Justin Holl,N,D,201,DET,32,CAD 3.4,136.2
545,Joel Hofer,N,G,51,STL,23,CAD 0.8,107.9
546,Zac Jones,N,D,210,NYR,23,CAD 0.8,119.9
547,Garnet Hathaway,N,RW,91,PHI,32,CAD 2.4,184.6
548,Colton Sissons,N,C/LW,109,NSH,30,CAD 2.9,181.8
549,Jack St. Ivany,N,D,198,PIT,25,CAD 0.8,138.6
550,Maxim Tsyplakov,N,RW,118,NYI,26,CAD 1.0,142.3
551,Tanner Jeannot,N,LW,116,LAK,27,CAD 2.7,172.6
552,Beck Malenstyn,N,LW,103,BUF,26,CAD 1.4,195.6
553,Brandon Tanev,N,LW,112,SEA,32,CAD 3.5,174.2
554,Lukas Reichel,N,LW,136,CHI,22,CAD 1.2,141.8
555,Gabriel Landeskog,N,LW,134,COL,31,CAD 7.0,142.4
556,Joel Armia,N,RW,117,MTL,31,CAD 3.4,142.9
557,Nick Desimone,N,D,207,NJD,29,CAD 0.8,127.6
558,Robby Fabbri,N,C/LW,125,ANA,28,CAD 4.0,155.0
559,Samuel Bolduc,N,D,206,NYI,23,CAD 0.8,128.6
560,Jimmy Vesey,N,LW,126,NYR,31,CAD 0.8,154.2
561,Cody Glass,N,C,164,PIT,25,CAD 2.5,153.3
562,Justin Danforth,N,RW,115,CBJ,31,CAD 1.1,146.0
563,Calle Jarnkrok,N,C,163,TOR,32,CAD 2.1,154.7
564,Simon Holmstrom,N,RW,114,NYI,23,RFA,146.5
565,Jake Evans,N,C,156,MTL,28,CAD 1.7,161.7
566,Jack Johnson,N,D,205,CBJ,37,CAD 0.8,130.7
567,Brett Leason,N,RW,109,ANA,25,CAD 1.1,152.3
568,Daniil Tarasov (G),N,G,56,CBJ,25,CAD 1.1,101.8
569,David Rittich,N,G,53,LAK,31,CAD 1.0,107.0
570,Frederick Gaudreau,N,C,153,MIN,31,CAD 2.1,163.9
571,Michael McCarron,N,RW,113,NSH,29,CAD 0.9,146.5
572,Carl Grundstrom,N,RW,110,SJS,26,CAD 1.8,148.6
573,Mavrik Bourque,N,C,170,DAL,22,CAD 0.9,146.5
574,Conor Sheary,N,LW,133,TBL,32,CAD 2.0,143.2
575,Will Cuylle,N,LW,118,NYR,22,CAD 0.8,164.2
576,Santeri Hatakka,N,D,211,NJD,23,CAD 0.8,111.4
577,Jesper Fast,N,RW,121,CAR,32,CAD 2.4,132.5
578,Corey Perry,N,RW,130,EDM,39,CAD 1.2,115.0
579,Calvin Pickard,N,G,54,EDM,32,CAD 1.0,106.0
580,Casey Cizikas,N,C,136,NYI,33,CAD 2.5,182.9
581,Christian Fischer,N,RW,122,DET,27,CAD 1.1,129.9
582,Joonas Korpisalo,N,G,55,BOS,30,CAD 3.0,103.7
583,Keegan Kolesar,N,RW,108,VGK,27,CAD 1.4,152.5
584,Ivan Fedotov,N,G,52,PHI,27,CAD 3.3,107.3
585,Yakov Trenin,N,C,151,MIN,27,CAD 3.5,167.0
586,Andreas Athanasiou,N,C,172,CHI,30,CAD 4.3,145.0
587,Kiefer Sherwood,N,RW,119,VAN,29,CAD 1.5,139.0
588,Joey Anderson,N,RW,127,CHI,26,CAD 0.8,123.0
589,Tye Kartye,N,LW,123,SEA,23,CAD 0.9,158.7
590,Jake Allen,N,G,57,NJD,33,CAD 1.9,101.0
591,Blake Lizotte,N,C,173,PIT,26,CAD 1.9,143.4
592,Pontus Holmberg,N,RW,123,TOR,25,CAD 0.8,127.3
593,Teddy Blueger,N,C,160,VAN,30,CAD 1.8,156.4
594,Hendrix Lapierre,N,C,182,WSH,22,CAD 0.9,136.0
595,Thomas Bordeleau,N,C,175,SJS,22,CAD 0.9,140.1
596,Cole Smith,N,LW,132,NSH,28,CAD 1.0,145.7
597,Juuso Parssinen,N,C,181,NSH,23,RFA,137.7
598,Matt Coronato,N,RW,132,CGY,21,CAD 0.9,109.9
599,Sam Steel,N,C,184,DAL,26,CAD 1.2,134.1
600,Barclay Goodrow,N,C,159,SJS,31,CAD 3.6,158.1
601,Nathan Bastian,N,RW,120,NJD,26,CAD 1.4,133.4
602,Sean Kuraly,N,C,166,CBJ,31,CAD 2.5,151.9
603,Vasily Podkolzin,N,RW,126,EDM,23,CAD 1.0,125.7
604,Brandon Duhaime,N,RW,125,WSH,27,CAD 1.9,126.4
605,Curtis Lazar,N,C,148,NJD,29,CAD 1.0,168.5
606,Michael Carcone,N,LW,140,UTA,28,CAD 0.8,124.0
607,Tyler Motte,N,LW,127,DET,29,CAD 0.8,151.8
608,Jack McBain,N,C,169,UTA,24,CAD 1.6,147.3
609,Sam Lafferty,N,C/RW,124,BUF,29,CAD 2.0,126.4
610,Jesper Boqvist,N,C,187,FLA,25,CAD 0.8,130.2
611,Brett Howden,N,C,179,VGK,26,CAD 1.9,138.9
612,Nico Sturm,N,C,161,SJS,29,CAD 2.0,155.6
613,Hudson Fasching,N,RW,128,NYI,29,CAD 0.8,116.5
614,Luke Kunin,N,C,185,SJS,26,CAD 2.8,133.4
615,Noah Gregor,N,C,167,OTT,26,CAD 0.9,151.1
616,Brendan Brisson,N,C,192,VGK,22,CAD 0.9,125.4
617,David Kampf,N,C,180,TOR,29,CAD 2.4,138.5
618,Christian Dvorak,N,C,171,MTL,28,CAD 4.5,146.2
619,Rafael Harvey-Pinard,N,LW,138,MTL,25,CAD 1.1,141.7
620,Oskar Sundqvist,N,C,188,STL,30,CAD 1.5,130.0
621,Radek Faksa,N,C,168,STL,30,CAD 3.3,148.7
622,Connor Dewar,N,C,174,TOR,25,CAD 1.2,140.5
623,Michael Pezzetta,N,LW,137,MTL,26,CAD 0.8,141.7
624,Isac Lundestrom,N,C,183,ANA,24,CAD 1.5,134.9
625,Nicolas Aube-Kubel,N,RW,129,BUF,28,CAD 1.5,115.1
626,Parker Kelly,N,LW,135,COL,25,CAD 0.8,142.4
627,Zemgus Girgensons,N,LW,139,TBL,30,CAD 0.9,134.2
628,Morgan Barron,N,C,177,WPG,25,CAD 1.4,139.7
629,Spencer Knight,N,G,58,FLA,23,CAD 4.5,91.7
630,Noel Acciari,N,C,139,PIT,32,CAD 2.0,177.9
631,Alex Turcotte,N,C,194,LAK,23,CAD 0.8,116.5
632,Connor Brown,N,RW,134,EDM,30,CAD 1.0,100.4
633,Ivan Miroshnichenko,N,LW,142,WSH,20,CAD 1.0,117.1
634,Arturs Silovs,N,G,59,VAN,23,CAD 0.9,89.9
635,Mathieu Olivier,N,RW,133,CBJ,27,CAD 1.1,108.5
636,Colin Blackwell,N,C,189,DAL,31,CAD 0.8,128.5
637,Paul Cotter,N,C,178,NJD,24,CAD 0.8,139.1
638,A.J. Greer,N,LW,143,FLA,27,CAD 0.9,112.5
639,Brock McGinn,N,LW,141,ANA,30,CAD 2.8,119.1
640,Jonny Brodzinski,N,C,196,NYR,31,CAD 0.8,112.9
641,Mark Kastelic,N,C,186,BOS,25,CAD 0.8,130.8
642,Mitchell Chaffee,N,RW,131,TBL,26,CAD 0.8,112.7
643,Mark Jankowski,N,C,195,NSH,29,CAD 0.8,115.4
644,Tomas Nosek,N,LW,144,FLA,32,CAD 0.8,111.9
645,Max Jones,N,LW,148,BOS,26,CAD 1.0,99.2
646,Ty Dellandrea,N,C,198,SJS,24,CAD 1.3,106.5
647,Scott Wedgewood,N,G,61,NSH,31,CAD 1.5,79.8
648,Ryan Lomberg,N,LW,146,CGY,29,CAD 2.0,105.9
649,Jonathan Quick,N,G,60,NYR,38,CAD 1.3,79.8
650,Jonas Johansson,N,G,62,TBL,28,CAD 0.8,78.0
651,Kyle MacLean,N,C,200,NYI,25,CAD 0.8,103.8
652,Mattias Janmark,N,C,201,EDM,31,CAD 1.5,98.2
653,Derek Ryan,N,C,193,EDM,37,CAD 0.9,117.1
654,Kaapo Kahkonen,N,G,63,WPG,27,CAD 1.0,75.5
655,John Beecher,N,C,190,BOS,23,CAD 0.9,127.7
656,Patrick Maroon,N,LW,149,CHI,36,CAD 1.3,77.5
657,Joel Kiviranta,N,LW,147,COL,28,CAD 0.8,100.8
658,Luke Glendening,N,C,176,TBL,35,CAD 0.8,139.9
659,Kevin Rooney,N,C/LW,145,CGY,31,CAD 1.3,106.9
660,Jakub Lauko,N,C,199,MIN,24,CAD 0.8,104.5
661,David Gustafsson,N,C,202,WPG,24,CAD 0.8,94.9
662,Jonah Gadjovich,N,LW,150,FLA,25,CAD 0.8,66.0
663,Zack MacEwen,N,C,203,OTT,28,CAD 0.8,59.4
664,Matt Rempe,N,C,204,NYR,22,CAD 0.8,57.0
