playerId,periodType,period,date,teamId,opponentId,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,decision,savePercentage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,evenStrengthSavePercentage,win
8476525,singleSeason,20202021,,,,864.0,8,4,27,64,48,91,1,4,46.72,777.42,27,0.0,0,0,0,0,39.87,51,-20,12,1022,,,,,,,,,,,,,,,,,,,,
8477931,singleSeason,20202021,,,,494.03,10,8,10,59,38,51,0,1,2.35,440.62,10,51.68,2,0,0,0,51.07,18,7,18,671,,,,,,,,,,,,,,,,,,,,
8474090,singleSeason,20202021,,,,788.83,5,5,73,58,48,84,0,0,8.42,720.62,73,0.0,0,0,0,0,59.8,41,3,10,1045,,,,,,,,,,,,,,,,,,,,
8475287,singleSeason,20202021,,,,816.15,12,9,14,85,51,63,1,3,75.78,638.7,14,55.1,2,1,2,2,101.67,23,4,21,1055,,,,,,,,,,,,,,,,,,,,
8475726,singleSeason,20202021,,,,911.23,16,28,24,158,52,75,7,10,125.33,745.08,24,38.88,5,0,2,3,40.82,12,0,44,1181,,,,,,,,,,,,,,,,,,,,
8476292,singleSeason,20202021,,,,960.05,31,15,26,111,55,82,7,20,176.83,781.0,26,0.0,6,0,0,0,2.22,43,1,46,1137,,,,,,,,,,,,,,,,,,,,
8476462,singleSeason,20202021,,,,1249.72,32,10,35,180,55,52,2,18,167.87,1003.15,35,0.0,2,1,1,1,78.7,64,20,42,1429,,,,,,,,,,,,,,,,,,,,
8476919,singleSeason,20202021,,,,824.45,13,6,8,53,55,23,0,0,7.25,706.53,8,45.59,3,0,0,1,110.67,32,-12,19,1145,,,,,,,,,,,,,,,,,,,,
8477508,singleSeason,20202021,,,,666.18,6,7,6,55,50,99,0,0,3.97,559.02,6,47.76,1,0,0,0,103.2,22,-6,13,920,,,,,,,,,,,,,,,,,,,,
8477970,singleSeason,20202021,,,,2115.48,,,,,37,,,,,,,,,,,,,,,,,4,2,,21,10,936,104,21,811,25,886,120,,0.908,36,1031,95,86.66666666666667,91.53498871331828,
8478399,singleSeason,20202021,,,,234.25,0,0,4,7,15,20,0,0,0.48,202.4,4,0.0,0,0,0,0,31.37,17,-9,0,292,,,,,,,,,,,,,,,,,,,,
8478414,singleSeason,20202021,,,,867.1,19,12,22,155,54,75,2,10,93.12,766.33,22,28.57,0,0,0,0,7.65,24,-5,31,1098,,,,,,,,,,,,,,,,,,,,
8478507,singleSeason,20202021,,,,1078.15,10,3,8,56,52,48,1,4,73.08,907.72,8,0.0,1,0,0,1,97.35,50,5,13,1324,,,,,,,,,,,,,,,,,,,,
8479407,singleSeason,20202021,,,,739.5,23,7,8,101,46,31,2,8,109.85,610.67,8,33.33,1,1,0,1,18.98,18,4,30,1019,,,,,,,,,,,,,,,,,,,,
8479414,singleSeason,20202021,,,,517.45,7,3,21,46,41,136,0,0,5.87,460.53,21,36.36,0,0,0,0,51.05,25,0,10,795,,,,,,,,,,,,,,,,,,,,
8479415,singleSeason,20202021,,,,718.28,6,9,42,60,52,89,0,0,6.27,630.87,42,51.5,2,0,0,0,81.15,20,-12,15,1060,,,,,,,,,,,,,,,,,,,,
8479984,singleSeason,20202021,,,,451.12,2,1,29,40,35,39,0,0,0.98,433.7,29,0.0,0,0,0,0,16.43,29,9,3,595,,,,,,,,,,,,,,,,,,,,
8480002,singleSeason,20202021,,,,388.87,5,6,4,44,21,11,3,4,61.65,293.77,4,56.23,0,0,1,1,33.45,20,-9,11,516,,,,,,,,,,,,,,,,,,,,
8480860,singleSeason,20202021,,,,118.42,2,0,0,5,7,18,0,0,0.25,110.8,0,0.0,0,0,0,0,7.37,6,0,2,154,,,,,,,,,,,,,,,,,,,,
8481559,singleSeason,20202021,,,,1067.53,20,11,16,142,56,15,1,7,165.68,899.13,16,35.35,1,0,0,0,2.72,15,-3,31,1265,,,,,,,,,,,,,,,,,,,,
8473504,singleSeason,20202021,,,,671.82,7,4,10,50,50,191,0,0,3.75,578.8,10,0.0,1,0,1,1,89.27,23,-5,11,975,,,,,,,,,,,,,,,,,,,,
8473575,singleSeason,20202021,,,,2116.93,,,,,36,,,,,,,,,,,,,,,,,4,7,,19,11,948,111,19,818,19,875,126,,0.929,35,1020,72,88.09523809523809,93.48571428571428,
8474709,singleSeason,20202021,,,,597.73,5,6,36,68,54,181,1,2,25.12,571.15,36,25.0,0,0,0,0,1.47,23,-2,11,835,,,,,,,,,,,,,,,,,,,,
8475151,singleSeason,20202021,,,,845.25,11,10,20,115,51,62,2,6,114.92,703.52,20,40.0,2,0,1,1,26.82,12,-5,21,1141,,,,,,,,,,,,,,,,,,,,
8475231,singleSeason,20202021,,,,774.73,7,7,27,72,56,112,0,0,5.05,673.45,27,53.2,3,0,0,0,96.23,25,-2,14,1116,,,,,,,,,,,,,,,,,,,,
8475314,singleSeason,20202021,,,,473.2,7,12,12,80,27,39,3,4,65.13,406.65,12,49.21,3,0,0,0,1.42,13,11,19,574,,,,,,,,,,,,,,,,,,,,
8475754,singleSeason,20202021,,,,998.58,15,18,14,121,56,36,7,9,118.68,823.55,14,49.36,4,0,0,0,56.35,26,-5,33,1263,,,,,,,,,,,,,,,,,,,,
8476419,singleSeason,20202021,,,,906.67,14,14,10,81,54,111,5,8,96.58,735.72,10,56.66,3,0,2,2,74.37,58,10,28,1267,,,,,,,,,,,,,,,,,,,,
8476429,singleSeason,20202021,,,,1090.82,13,2,38,79,56,76,0,0,3.87,958.33,38,0.0,0,0,0,0,128.62,108,2,15,1335,,,,,,,,,,,,,,,,,,,,
8476917,singleSeason,20202021,,,,1178.6,10,4,18,82,56,66,0,0,6.57,1046.97,18,0.0,0,0,1,2,125.07,73,15,14,1449,,,,,,,,,,,,,,,,,,,,
8477392,singleSeason,20202021,,,,47.32,0,0,0,7,5,6,0,0,0.0,46.63,0,0.0,0,0,0,0,0.68,1,-3,0,68,,,,,,,,,,,,,,,,,,,,
8477500,singleSeason,20202021,,,,1113.82,20,19,23,131,56,64,7,11,193.52,893.0,23,52.89,3,1,1,1,27.3,38,-6,39,1424,,,,,,,,,,,,,,,,,,,,
8477506,singleSeason,20202021,,,,1256.67,15,2,8,121,56,97,0,1,107.25,1063.23,8,0.0,1,1,0,0,86.18,106,15,17,1477,,,,,,,,,,,,,,,,,,,,
