playerId,periodType,period,date,teamId,opponentId,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,decision,savePercentage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,evenStrengthSavePercentage,win
8476525,singleSeason,20222023,,,,1325.0,15,6,37,106,79,108,1,1,16.77,1274.5,37,0.0,3,0,0,0,33.73,70,23,21,1716,,,,,,,,,,,,,,,,,,,,
8477931,singleSeason,20222023,,,,828.47,11,7,48,69,66,69,0,0,2.28,657.52,48,59.3,1,0,2,2,168.67,31,9,18,1233,,,,,,,,,,,,,,,,,,,,
8474090,singleSeason,20222023,,,,933.2,5,0,63,58,60,102,0,0,1.7,835.88,63,0.0,0,0,0,1,95.62,76,3,5,1206,,,,,,,,,,,,,,,,,,,,
8475287,singleSeason,20222023,,,,1330.48,27,14,47,164,80,92,2,7,93.8,1081.48,47,54.21,0,0,2,3,155.2,54,13,41,1789,,,,,,,,,,,,,,,,,,,,
8475726,singleSeason,20222023,,,,1362.1,39,34,28,268,82,59,10,25,237.85,1074.47,28,58.33,4,2,0,0,49.78,14,16,73,1893,,,,,,,,,,,,,,,,,,,,
8476292,singleSeason,20222023,,,,761.23,15,8,6,79,49,70,1,3,75.82,679.88,6,0.0,1,0,0,0,5.53,44,5,23,1011,,,,,,,,,,,,,,,,,,,,
8476462,singleSeason,20222023,,,,1785.5,52,22,50,275,82,64,8,28,252.52,1518.85,50,0.0,7,2,0,0,14.13,86,23,74,2121,,,,,,,,,,,,,,,,,,,,
8476919,singleSeason,20222023,,,,391.07,7,3,6,19,36,15,0,0,4.08,343.45,6,47.03,0,0,0,1,43.53,21,-8,10,528,,,,,,,,,,,,,,,,,,,,
8477508,singleSeason,20222023,,,,584.57,2,3,21,55,49,138,0,0,2.52,529.98,21,51.47,0,0,0,0,52.07,53,-6,5,888,,,,,,,,,,,,,,,,,,,,
8477970,singleSeason,20222023,,,,2915.57,,,,,52,,,,,,,,,,,,,,,,,4,3,,33,11,1214,166,29,1019,34,1113,186,,0.910728,48,1333,119,89.24731182795699,91.55435759209344,
8478399,singleSeason,20222023,,,,1612.32,17,4,44,84,80,101,1,1,8.3,1425.42,44,0.0,1,0,0,0,178.6,151,27,21,1979,,,,,,,,,,,,,,,,,,,,
8478414,singleSeason,20222023,,,,1512.28,26,40,43,327,78,154,17,23,227.93,1274.9,43,36.84,5,1,0,0,9.45,37,-19,66,1734,,,,,,,,,,,,,,,,,,,,
8478507,singleSeason,20222023,,,,1348.53,14,4,20,67,64,44,0,0,17.02,1139.23,20,0.0,0,0,0,1,192.28,81,21,18,1607,,,,,,,,,,,,,,,,,,,,
8479407,singleSeason,20222023,,,,1424.13,41,32,6,212,82,24,8,22,228.82,1192.63,6,0.0,3,1,0,0,2.68,23,14,73,1804,,,,,,,,,,,,,,,,,,,,
8479414,singleSeason,20222023,,,,534.73,9,6,31,62,43,99,0,0,41.0,440.92,31,29.73,1,0,0,0,52.82,38,7,15,751,,,,,,,,,,,,,,,,,,,,
8479415,singleSeason,20222023,,,,980.13,22,4,43,90,80,127,0,0,5.77,880.0,43,60.64,1,0,0,1,94.37,51,6,26,1492,,,,,,,,,,,,,,,,,,,,
8479984,singleSeason,20222023,,,,756.12,5,2,63,39,50,58,0,0,7.43,695.78,63,0.0,0,0,0,0,52.9,52,6,7,911,,,,,,,,,,,,,,,,,,,,
8480002,singleSeason,20222023,,,,1562.43,49,31,10,256,81,34,7,19,240.67,1151.83,10,53.87,9,2,3,4,169.93,61,33,80,2042,,,,,,,,,,,,,,,,,,,,
8480860,singleSeason,20222023,,,,588.85,6,2,35,27,42,64,0,0,1.75,550.53,35,0.0,0,0,0,0,36.57,38,4,8,814,,,,,,,,,,,,,,,,,,,,
8481033,singleSeason,20222023,,,,901.35,,,,,18,,,,,,,,,,,,,,,,,2,1,,9,5,376,47,12,317,12,341,55,,0.921569,14,408,32,85.45454545454545,92.96187683284457,
8481559,singleSeason,20222023,,,,1557.35,56,43,6,336,78,12,9,31,246.4,1305.97,6,35.34,6,1,0,0,4.98,30,10,99,1740,,,,,,,,,,,,,,,,,,,,
8482110,singleSeason,20222023,,,,1357.95,29,27,14,161,82,36,2,10,108.1,1143.2,14,42.42,6,1,1,2,106.65,63,22,56,1741,,,,,,,,,,,,,,,,,,,,
8482125,singleSeason,20222023,,,,195.15,1,3,8,21,19,6,2,2,31.55,163.6,8,0.0,0,0,0,0,0.0,4,-6,4,249,,,,,,,,,,,,,,,,,,,,
8482684,singleSeason,20222023,,,,32.47,1,1,0,2,2,1,0,0,0.18,32.28,0,0.0,1,1,0,0,0.0,3,0,2,40,,,,,,,,,,,,,,,,,,,,
8473504,singleSeason,20222023,,,,598.97,6,6,30,44,49,194,0,0,2.08,514.1,30,20.0,1,0,0,0,82.78,33,9,12,983,,,,,,,,,,,,,,,,,,,,
8473575,singleSeason,20222023,,,,1334.73,,,,,23,,,,,,,,,,,,,,,,,2,2,,11,9,629,86,21,522,22,568,99,,0.912917,22,689,60,86.86868686868688,91.90140845070422,
