firstName,lastName,primaryPosition,position,team,injured,fpts,rnk,pos_rnk
Connor,McDavid,C,C,,,619.3,1,1
Leon,Draisaitl,C,"C,LW",,,497.0,2,2
Auston,Matthews,C,C,,,483.8,3,3
David,Pastrnak,R,RW,,,432.2,4,1
Mikko,Rantanen,R,RW,,,411.8,5,2
Roman,Josi,D,D,,,423.8,5,3
Nathan,MacKinnon,C,C,,,406.7,7,5
Moritz,Seider,D,D,,,455.6,8,1
Matthew,Tkachuk,L,"LW,RW",,,403.7,9,2
Mitchell,Marner,R,R,,,398.3,10,3
Alex,Ovechkin,L,LW,,,405.9,11,1
Jason,Robertson,L,LW,,,399.4,12,3
Sidney,Crosby,C,C,,,401.0,13,3
Mika,Zibanejad,C,C,,,398.8,14,7
Alex,DeBrincat,R,R,,,376.5,15,6
Kirill,Kaprizov,L,LW,,,382.6,16,6
John,Tavares,C,C,,,397.8,17,6
Kyle,Connor,L,LW,,,396.9,18,4
Steven,Stamkos,C,"C,LW",,,389.1,19,9
Nikita,Kucherov,R,RW,,,379.3,20,4
J.T.,Miller,C,"C,RW",,,382.4,21,11
Adam,Fox,D,D,,,379.5,22,4
Tim,Stützle,C,"C,LW",,,373.1,23,12
Elias,Pettersson,C,C,,,366.7,24,13
Jack,Hughes,C,"C,LW",,,360.8,24,14
Rasmus,Dahlin,D,D,,,369.4,26,5
Joe,Pavelski,C,"C,RW",,,374.0,27,10
Brady,Tkachuk,L,LW,,,364.7,28,5
William,Nylander,R,RW,,,352.4,29,8
Timo,Meier,R,"LW,RW",,,358.4,30,6
Cale,Makar,D,D,,,350.5,31,10
Anze,Kopitar,C,C,,,373.9,32,8
Victor,Hedman,D,D,,,359.9,33,6
Aleksander,Barkov,C,C,,,339.4,34,16
Jake,Guentzel,L,LW,,Oct 24,345.4,35,7
Tage,Thompson,C,C,,,339.1,36,19
Brayden,Point,C,C,,,335.4,37,18
Alex,Pietrangelo,D,D,,,349.3,38,9
Sebastian,Aho,C,C,,,332.6,39,14
Brent,Burns,D,D,,,360.2,40,2
Roope,Hintz,C,C,,,324.4,41,22
Sam,Reinhart,C,"C,RW",,,332.4,42,20
Elias,Lindholm,C,C,,,329.8,43,20
Dougie,Hamilton,D,D,,,320.0,43,14
Johnny,Gaudreau,L,LW,,,329.7,45,7
Noah,Dobson,D,D,,,344.1,46,8
Ryan,Nugent-Hopkins,C,"C,LW",,,322.0,47,23
Chris,Kreider,L,LW,,,327.7,48,9
Artemi,Panarin,L,LW,,,318.2,49,12
Mikhail,Sergachev,D,D,,,323.9,50,12
Bo,Horvat,C,C,,,311.3,51,28
Kris,Letang,D,D,,,343.0,52,7
Josh,Morrissey,D,D,,,320.0,53,13
Jordan,Kyrou,C,"C,RW",,,311.9,54,27
Miro,Heiskanen,D,D,,,308.4,55,17
Joel,Eriksson Ek,C,C,,,310.9,56,26
Erik,Karlsson,D,D,,,305.3,57,21
Claude,Giroux,R,"C,RW",,,318.2,58,5
Brad,Marchand,L,LW,,,308.6,59,13
Jamie,Benn,L,LW,,,313.2,60,10
Adrian,Kempe,R,"C,RW",,,306.5,61,9
Matt,Boldy,L,"LW,RW",,,298.0,62,16
Nazem,Kadri,C,C,,,314.0,63,17
Mark,Scheifele,C,C,,,305.2,64,29
Quinn,Hughes,D,D,,,303.6,65,20
Andrei,Svechnikov,R,"LW,RW",,,297.6,66,12
Nick,Suzuki,C,C,,,305.7,67,25
Seth,Jones,D,D,,,301.9,68,22
Clayton,Keller,R,"LW,RW",,,294.0,69,14
Dawson,Mercer,C,"C,RW",,,309.8,69,24
Darnell,Nurse,D,D,,,310.1,71,11
Mats,Zuccarello,R,RW,,,299.7,72,10
Nico,Hischier,C,C,,,285.4,73,36
Andrei,Kuzmenko,L,LW,,,308.3,74,11
Zach,Hyman,L,"LW,RW",,,291.0,75,18
Justin,Faulk,D,D,,,303.5,76,17
Rasmus,Andersson,D,D,,,295.8,76,24
Brock,Nelson,C,C,,,293.6,78,29
Jesper,Bratt,L,"LW,RW",,,293.0,78,14
Dylan,Larkin,C,C,,,283.8,80,36
Charlie,McAvoy,D,D,,,293.3,81,27
Kevin,Fiala,L,LW,,,284.6,82,19
Tomas,Hertl,C,C,,,292.2,83,32
Jacob,Trouba,D,D,,,301.7,84,16
Jonathan,Huberdeau,C,LW,,,292.3,85,29
Tyler,Toffoli,R,RW,,,294.2,86,11
Martin,Necas,C,"C,RW",,,276.6,87,40
Jonathan,Marchessault,R,RW,,,275.4,88,15
Jeff,Skinner,L,LW,,,273.5,89,20
Alex,Tuch,R,RW,,,260.1,90,20
John,Carlson,D,D,,,270.3,91,32
Rickard,Rakell,R,RW,,,276.5,92,13
Lucas,Raymond,L,"LW,RW",,,279.5,93,15
Jared,Spurgeon,D,D,,,283.9,94,25
Devon,Toews,D,D,,,276.8,95,30
David,Perron,L,"LW,RW",,,279.3,96,17
Jared,McCann,L,LW,,,264.8,96,21
Vincent,Trocheck,C,C,,,277.9,98,34
Pierre-Luc,Dubois,C,"C,LW",,,264.3,99,41
Alexander,Romanov,D,D,,,228.3,100,60
Ivan,Provorov,D,D,,,286.5,101,17
Sean,Durzi,D,D,,,264.4,102,35
Drake,Batherson,R,RW,,,260.6,103,16
Carter,Verhaeghe,C,"C,LW",,,251.9,104,47
Morgan,Rielly,D,D,,,264.2,105,34
Adam,Larsson,D,D,,,271.2,106,26
Tyson,Barrie,D,D,,,286.1,107,15
Viktor,Arvidsson,R,"LW,RW",,,259.1,108,17
Evgeni,Malkin,C,C,,,251.8,109,43
Thomas,Chabot,D,D,,,256.7,109,38
Noah,Hanifin,D,D,,,261.7,111,31
Mikael,Backlund,C,C,,,265.8,112,33
Pavel,Buchnevich,L,"C,LW",,,248.0,112,24
MacKenzie,Weegar,D,D,,,269.1,114,29
Drew,Doughty,D,D,,,255.4,115,40
Nino,Niederreiter,R,R,,,215.3,116,37
Brandon,Hagel,L,LW,,,246.0,117,25
Dylan,Cozens,C,C,,,244.7,118,53
Travis,Konecny,R,RW,,,242.0,119,26
Brock,Boeser,R,RW,,,254.1,120,19
Bryan,Rust,R,RW,,,252.2,121,22
Alex,Killorn,C,"LW,RW",,,252.5,122,36
Chandler,Stephenson,C,C,,,250.4,122,42
Oliver,Bjorkstrand,R,RW,,,253.7,124,17
J.J.,Moser,D,D,,,208.5,125,81
Cam,Fowler,D,D,,,246.2,126,44
Wyatt,Johnston,C,C,,,254.5,127,35
Jordan,Eberle,R,RW,,,251.1,128,21
Troy,Terry,R,RW,,,233.9,129,28
Filip,Forsberg,L,LW,,,232.4,130,28
Neal,Pionk,D,D,,,249.5,131,35
Shea,Theodore,D,D,,,240.1,132,47
Seth,Jarvis,C,"C,RW",,,245.9,133,44
Anders,Lee,L,LW,,,244.4,134,22
Trevor,Zegras,C,C,,,233.0,135,56
Phillip,Danault,C,C,,,241.5,136,45
Andrew,Peeke,D,D,,,200.4,137,90
Brayden,Schenn,C,"C,LW",,,237.7,138,51
Evan,Bouchard,D,D,,,218.9,139,68
Vladimir,Tarasenko,R,RW,,,236.0,140,24
Esa,Lindell,D,D,,,245.0,140,42
Mathew,Barzal,C,"C,RW",,,222.6,142,61
Jeff,Petry,D,D,,,245.2,143,37
Evgeny,Kuznetsov,C,C,,,238.3,144,45
Matt,Duchene,C,"C,RW",,,236.5,145,51
Vince,Dunn,D,D,,,225.5,146,56
Boone,Jenner,C,"C,LW",,,223.6,147,59
Shayne,Gostisbehere,D,D,,,248.3,148,28
Owen,Tippett,R,RW,,,219.0,149,29
Gustav,Forsling,D,D,,,225.7,150,51
Colton,Parayko,D,D,,,228.3,151,46
Andrew,Mangiapane,L,"LW,RW",,,223.1,152,27
Blake,Wheeler,R,RW,,,241.5,153,23
K'Andre,Miller,D,D,,,243.0,154,38
Ryan,Graves,D,D,,,227.1,154,47
Jani,Hakanpää,D,D,,,186.8,156,104
Nicholas,Paul,L,L,,,186.7,157,51
Kevin,Shattenkirk,D,D,,,243.2,158,33
Evgenii,Dadonov,R,R,,,186.6,159,43
Mark,Giordano,D,D,,,248.3,160,22
Frank,Vatrano,R,"C,LW",,,221.0,161,25
Ryan,Pulock,D,D,,,228.4,162,45
Valeri,Nichushkin,R,"LW,RW",,,209.4,163,33
Jean-Gabriel,Pageau,C,C,,,224.7,164,50
Martin,Fehervary,D,D,,,234.5,165,41
Mattias,Ekholm,D,D,,,221.3,166,50
Dylan,Strome,C,C,,,223.9,167,48
Reilly,Smith,R,"LW,RW",,,215.9,168,27
William,Karlsson,C,C,,,218.1,169,58
Brayden,McNabb,D,D,,,219.6,170,52
Patrik,Laine,L,"LW,RW",,,204.8,171,37
Damon,Severson,D,D,,,219.1,172,53
Alec,Martinez,D,D,,,215.0,173,62
Jake,DeBrusk,L,"LW,RW",,,207.4,174,30
Taylor,Hall,L,LW,,,206.0,175,32
Jaccob,Slavin,D,D,,,220.5,176,49
Dominik,Kubalik,L,LW,,,219.0,177,22
Robert,Thomas,C,C,,,207.5,178,65
John,Klingberg,D,D,,,214.7,179,61
Artturi,Lehkonen,L,LW,,,203.1,180,38
Ryan,McDonagh,D,D,,,217.4,181,53
Travis,Sanheim,D,D,,,213.7,182,63
Mikael,Granlund,C,"C,RW",,,222.5,183,55
Jeff,Carter,C,C,,,226.8,184,36
Anton,Lundell,C,C,,,213.4,185,57
Lawson,Crouse,L,"LW,RW",,,212.1,186,26
Samuel,Girard,D,D,,,214.7,187,57
Sam,Bennett,C,C,,,205.4,188,64
Filip,Hronek,D,D,,,210.5,188,66
Pavel,Zacha,C,C,,,204.4,190,67
Jack,Roslovic,C,RW,,,210.4,191,60
Dmitry,Orlov,D,D,,,208.3,192,71
Matt,Roy,D,D,,,214.1,193,59
J.T.,Compher,L,"LW,RW",,,205.0,194,31
Jack,Eichel,C,C,,,188.0,195,85
Dylan,DeMelo,D,D,,,163.8,196,127
Radko,Gudas,D,D,,,210.0,197,64
Nick,Schmaltz,C,"C,RW",,,194.3,198,80
Conor,Garland,R,RW,,,204.8,199,31
Andrew,Copp,C,C,,,212.7,200,54
Brady,Skjei,D,D,,,213.0,201,58
Ryan,Hartman,R,"C,RW",,,197.0,202,34
Brett,Pesce,D,D,,,205.1,203,72
Mario,Ferraro,D,D,,,194.6,203,83
Torey,Krug,D,D,,,194.6,205,82
Jakob,Chychrun,D,D,,,190.1,206,95
Nick,Jensen,D,D,,,206.9,207,65
Anthony,Beauvillier,L,"LW,RW",,,196.0,208,40
Scott,Laughton,C,C,,,198.3,209,66
Joel,Farabee,L,LW,,,198.9,209,34
Charlie,Coyle,C,C,,,197.2,211,69
Ben,Chiarot,D,D,,,206.2,212,67
Rasmus,Ristolainen,D,D,,,201.6,213,74
Hampus,Lindholm,D,D,,,193.6,213,85
Blake,Coleman,C,"C,RW",,,204.6,215,63
Victor,Olofsson,L,"LW,RW",,,204.4,216,29
Jordan,Staal,C,C,,,211.0,217,48
